id|direccion|ciudad|region|codigo_postal
151|P.O. Box 506, 4169 Rutrum Road|Broken Hill|NSW|T7S 8M5
179|3304 Sit St.|Geertruidenberg|Noord Brabant|9051
163|157-9888 Volutpat. Ave|Alingsås|O|B3 8HL
163|903-9189 Sit St.|Berlin|Berlin|10511
192|P.O. Box 465, 6609 At Road|Waitakere|NI|553189
178|P.O. Box 234, 8131 Eleifend Avenue|Luino|LOM|2485
178|678-9007 Amet Avenue|Couthuin|LU|720356
171|718-2574 Fringilla, Road|Murray Bridge|SA|61619
150|P.O. Box 797, 1648 Enim Street|Berlin|Berlin|90249
192|Ap #792-2303 Nulla St.|Sosnowiec|Sląskie|39782
159|P.O. Box 118, 3019 Aliquet Road|Biała Podlaska|LU|77-195
199|3249 Nec, St.|MŽlin|WB|TB16 8US
193|258-2159 Consectetuer Avenue|Nelson|BC|2338
183|5921 Nonummy. Ave|Mantova|LOM|2155
152|9813 Sed Rd.|Town of Yarmouth|NS|08432-211
199|Ap #815-1207 Luctus, Road|Uddevalla|Västra Götalands län|4885
192|Ap #831-8329 Varius Street|Wanganui|NI|302219
172|P.O. Box 373, 4267 Felis. St.|Lagos|Lagos|7655LG
176|P.O. Box 185, 5193 Nisi Road|Floriffoux|NA|02278
161|371-2405 Mi. Rd.|Kaduna|Kaduna|H0 7IS
193|5129 Vestibulum. Avenue|Thorembais-Saint-Trond|Waals-Brabant|80-518
186|469-5500 Ut, St.|Toledo|CM|04360
176|P.O. Box 690, 2536 Quisque St.|Warri|Delta|472884
158|528-504 Molestie. St.|Nijkerk|Gl|0932
177|Ap #850-2302 Facilisis Rd.|Cork|M|52534
192|222-5387 Egestas Ave|Overland Park|Kansas|2540
189|3109 Integer Avenue|Bremen|HB|13969
151|2188 Nisi Rd.|Alcobendas|Madrid|A2X 3A7
183|P.O. Box 817, 6565 Dapibus Rd.|Paine|RM|61111
184|4595 Ut, Avenue|Kano|KN|521519
188|Ap #308-7277 Elit, Rd.|Benalla|Victoria|8890
153|3487 Dapibus Street|Worms|RP|71778
174|132-3457 Mollis. Rd.|Harderwijk|Gelderland|93616
170|P.O. Box 267, 7413 Sodales Street|Emblem|Antwerpen|22111
156|Ap #696-2577 Sit Street|Dandenong|Victoria|06162
158|872-7820 Hendrerit St.|Sosnowiec|SL|4409
176|5251 Proin Av.|Buguma|Rivers|30600
